Company Name,Industry,Symbol,Series,ISIN Code,Sector_Index
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,^CNXPHARMA
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,^CNXINFRA
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,^CNXENERGY
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,^CNXFMCG
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,^CNXENERGY
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,^CNXCMDT
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,^NSEBANK
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,^CNXENERGY
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,^NSEBANK
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,^NSEBANK
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,^CNXENERGY
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,^NSEBANK
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,^CNXAUTO
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,^CNXINFRA
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,^NSEBANK
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017,^CNXINFRA
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,^CNXINFRA
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,^CNXCMDT
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,^NSEBANK
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,^CNXPHARMA
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,^CNXAUTO
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,^CNXIT
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,^CNXFMCG
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022,^CNXAUTO
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,^CNXENERGY
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,^CNXMETAL
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,^CNXIT
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,^CNXCONSUM
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,^CNXPHARMA
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,^CNXCONSUM
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,^CNXINFRA
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,^CNXFMCG
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,^CNXFMCG
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,^CNXMETAL
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,^CNXIT
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,^CNXPHARMA
