Symbol,CAGR,Current Market Price,Intrinsic Value,Margin,Verdict
ABB.NS,0.5137222429094845,4694.5,79429.09675381801,15.919607360489511,✅ UNDERVALUED
ADANIENSOL.NS,-0.004575559685966124,812.7000122070312,92.91249866640004,-0.8856742989161774,❌ OVERVALUED
ADANIENT.NS,1.3308575094172972,1864.199951171875,1976285.254288337,1059.1251507629333,✅ UNDERVALUED
ADANIGREEN.NS,0.44265051341750494,772.7999877929688,7276.762927682019,8.416101245632325,✅ UNDERVALUED
ADANIPORTS.NS,0.36679329769055147,1308.4000244140625,6966.992367025833,4.324818279597514,✅ UNDERVALUED
ADANIPOWER.NS,0.42096500810114246,132.9600067138672,717.113167218473,4.393450142957017,✅ UNDERVALUED
AMBUJACEM.NS,0.09804298716754478,518.5999755859375,250.26072163949706,-0.5174301322387428,❌ OVERVALUED
APOLLOHOSP.NS,0.12726454381661512,6803.0,4917.603569725928,-0.2771419124318789,❌ OVERVALUED
ASIANPAINT.NS,0.08417368538861392,2703.699951171875,1508.2739026929094,-0.4421444946066695,❌ OVERVALUED
DMART.NS,0.18605948987415366,3665.60009765625,4708.965561069038,0.28463701320826185,✅ UNDERVALUED
AXISBANK.NS,0.3567490592287168,1258.0,7124.345806422746,4.6632319605904184,✅ UNDERVALUED
BAJAJ-AUTO.NS,0.09027546729380598,9413.5,4493.34206048846,-0.5226704137155722,❌ OVERVALUED
BAJFINANCE.NS,0.29885716231790926,927.8499755859375,2917.963720370387,2.1448658696441654,✅ UNDERVALUED
BAJAJFINSV.NS,0.2377602359729225,1949.0,3747.6010260325306,0.9228327480926273,✅ UNDERVALUED
BAJAJHLDNG.NS,0.19363566241619723,10668.0,12807.290750751958,0.20053344120284566,✅ UNDERVALUED
BAJAJHFL.NS,0.452760649305886,88.3499984741211,862.7672733205495,8.765334331876256,✅ UNDERVALUED
BANKBARODA.NS,0.33628261921210356,296.1499938964844,1232.6264370382285,3.162169381874369,✅ UNDERVALUED
BEL.NS,0.32489839473564475,410.70001220703125,954.2611887656941,1.3234992948689204,✅ UNDERVALUED
BPCL.NS,0.2550428648712162,349.1499938964844,612.306584210481,0.7537064153351152,✅ UNDERVALUED
BHARTIARTL.NS,2.292117602610836,1984.699951171875,64787134.54177667,32642.289230456634,✅ UNDERVALUED
BOSCHLTD.NS,0.22026781742291646,35265.0,49788.65476821734,0.41184332250722644,✅ UNDERVALUED
BRITANNIA.NS,0.09162417941312562,5835.0,2966.7436300601903,-0.4915606460907985,❌ OVERVALUED
CGPOWER.NS,0.04462732593673713,549.0999755859375,143.29713703277432,-0.739032701868428,❌ OVERVALUED
CANBK.NS,0.4832582608345466,151.80999755859375,1385.3978406302492,8.12586695810683,✅ UNDERVALUED
CHOLAFIN.NS,0.25409418237073544,1643.199951171875,3285.9416457741995,0.999721119411412,✅ UNDERVALUED
CIPLA.NS,0.3164570135401099,1315.0,6086.418124084841,3.628454847212807,✅ UNDERVALUED
COALINDIA.NS,0.2233722897955568,418.3999938964844,801.7285733715013,0.916177306565295,✅ UNDERVALUED
DLF.NS,0.4746104039995671,588.4500122070312,7191.973328959501,11.221893414506697,✅ UNDERVALUED
DIVISLAB.NS,-0.11253521242469222,6011.5,356.51470735612645,-0.940694550884783,❌ OVERVALUED
DRREDDY.NS,0.28751383176172585,1235.5999755859375,3922.29841511456,2.1744079739517277,✅ UNDERVALUED
EICHERMOT.NS,0.3935840414014242,6973.0,37548.374871051135,4.384823586842268,✅ UNDERVALUED
ETERNAL.NS,0.05,258.70001220703125,262.6704209438393,0.015347539812370137,✅ UNDERVALUED
GAIL.NS,0.054962088901519435,160.80999755859375,100.81293573532726,-0.37309285948720683,❌ OVERVALUED
GODREJCP.NS,-0.16159605701457846,1240.4000244140625,62.15077271790522,-0.9498945731259044,❌ OVERVALUED
GRASIM.NS,-0.20202356221901074,2759.0,45.89448988263581,-0.9833655346565292,❌ OVERVALUED
HCLTECH.NS,0.0851215818865747,1707.0,982.9122310617036,-0.4241873280247782,❌ OVERVALUED
HDFCBANK.NS,0.04396069856102547,916.0999755859375,272.13849507929035,-0.7029379954898147,❌ OVERVALUED
HDFCLIFE.NS,0.09872981090662836,712.0999755859375,442.30942863854085,-0.3788661089693267,❌ OVERVALUED
HAVELLS.NS,0.0854465880805606,1287.0,756.0334220542532,-0.4125614436252889,❌ OVERVALUED
HINDALCO.NS,0.05703621244801127,950.2999877929688,320.3077033189086,-0.6629404320389296,❌ OVERVALUED
HAL.NS,0.19397266766923726,4305.7001953125,4291.982002709289,-0.0031860538311853093,⚠️ FAIR VALUE
HINDUNILVR.NS,0.056412571824300706,2409.5,1141.4588445990898,-0.5262673398634199,❌ OVERVALUED
HINDZINC.NS,-0.006122962064690873,698.7000122070312,145.74936792664926,-0.7913992194357335,❌ OVERVALUED
HYUNDAI.NS,0.22667119562935345,2263.199951171875,4443.975917886662,0.9635807766722468,✅ UNDERVALUED
ICICIBANK.NS,0.2625701326394503,1343.4000244140625,3442.4846901778433,1.562516471353585,✅ UNDERVALUED
ICICIGI.NS,0.23607697753460766,1795.699951171875,3525.2602707828487,0.963167771142535,✅ UNDERVALUED
ITC.NS,0.318388783427237,323.3999938964844,2338.401429588358,6.230678644777113,✅ UNDERVALUED
INDHOTEL.NS,0.05,645.7999877929688,302.1264750567802,-0.5321671093718939,❌ OVERVALUED
IOC.NS,-0.011475029551398563,156.02999877929688,35.12808124657517,-0.7748632857694017,❌ OVERVALUED
IRFC.NS,0.02416895948063913,114.1500015258789,32.14907828217952,-0.7183611226243303,❌ OVERVALUED
